"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"172.20.0.4",42038,"172.20.0.5",9876,2,128,1,74,1,54,19.319636008,4.720500000132688e-05,0,0
"172.20.0.4",37072,"172.20.0.3",5679,14,1181,8,699,6,482,19.518268192,0.00458087299999832,0,0
"172.20.0.4",42046,"172.20.0.5",9876,2,128,1,74,1,54,19.966869784,5.512399999929585e-05,0,0
"172.20.0.4",39094,"172.20.0.2",5679,14,1181,8,699,6,482,20.517565684,0.003781499999998772,0,0
"172.20.0.4",60082,"172.20.0.5",9876,2,128,1,74,1,54,21.518096614,5.573400000002948e-05,0,0
"172.20.0.4",42816,"172.20.0.3",5679,14,1126,8,701,6,425,21.526368528,0.0063840190000021835,878443.5008727389,532579.8685747704
"172.20.0.4",38646,"172.20.0.2",5679,14,1126,8,701,6,425,21.528211633,0.005915656999999186,947992.7588771242,574745.9665089555
"172.20.0.5",42798,"172.20.0.3",5679,14,1192,8,710,6,482,17.540769922,0.07529325900000217,75438.36029198625,51213.084029207566
"172.20.0.5",42806,"172.20.0.2",5679,14,1345,8,661,6,684,17.540777209,0.07562065399999796,69927.98554744241,72361.18322912346
"172.20.0.5",42810,"172.20.0.3",5679,14,1345,8,661,6,684,17.542666117,0.07341260100000113,72031.23071473681,74537.61241888045
"172.20.0.5",49868,"172.20.0.4",5679,14,1345,8,661,6,684,17.54950646,0.06749611400000077,78345.25110586277,81071.333973389
"172.20.0.5",42810,"172.20.0.2",5679,18,2230,10,1219,8,1011,17.672053244,1.6381438330000009,5953.079212916706,4937.295393157333
"172.20.0.5",42826,"172.20.0.3",5679,18,2230,10,1219,8,1011,17.708404075,1.6020128279999994,6087.342017213862,5048.6487115694945
"172.20.0.5",49884,"172.20.0.4",5679,18,2250,10,1219,8,1031,17.723249972,1.5870361979999998,6144.787379323531,5197.108931979131
"172.20.0.5",49896,"172.20.0.4",5679,14,1206,8,724,6,482,18.535509021,0.025126922000001883,230509.72976314274,153460.89743899833
"172.20.0.5",42834,"172.20.0.3",5679,14,1011,8,588,6,423,18.56296737,0.7472846339999997,6294.790212426611,4528.394999755878
"172.20.0.5",42812,"172.20.0.2",5679,28,2385,16,1500,12,885,18.702584706,0.607868161999999,19741.12274694199,11647.262420695773
"172.20.0.5",42816,"172.20.0.2",5679,25,2256,15,1273,10,983,18.73644701,0.5733848930000001,17761.193439744147,13715.045680493711
"172.20.0.5",42838,"172.20.0.3",5679,22,1889,12,1083,10,806,18.881881695,0.4281030880000003,20238.116105343284,15061.792780153914
